data,contaminant,lat,lng,valor
2025-02-14,PM10,41.5784,1.6230061,
2025-02-14,PM2.41.5784,1.6230061,
2025-02-14,NO2,41.5784,1.6230061,
2025-02-14,SO2,41.5784,1.6230061,4
2025-02-14,O3,41.5784,1.6230061,
2025-02-14,NO,41.5784,1.6230061,
2025-01-06,PM10,41.5784,1.6230061,
2025-01-06,PM2.5,41.5784,1.6230061,
2025-01-06,NO2,41.5784,1.6230061,
2025-01-06,SO2,41.5784,1.6230061,
2025-01-06,O3,41.5784,1.6230061,
2025-01-06,NO,41.5784,1.6230061,
2025-02-14,PM10,41.5784,1.6230061,
2025-02-14,PM2.5,41.4469,2.2450,
2025-02-14,NO2,41.4469,2.2450,
2025-02-14,SO2,41.4469,2.2450,
2025-02-14,O3,41.4469,2.2450,
2025-02-14,NO,41.4469,2.2450,
2025-01-06,PM10,41.4469,2.2450,
2025-01-06,PM2.5,41.4469,2.2450,
2025-01-06,NO2,41.4469,2.2450,
2025-01-06,SO2,41.4469,2.2450,
2025-01-06,O3,41.4469,2.2450,
2025-01-06,NO,41.4469,2.2450,
2025-02-14,PM10,41.4745,1.9307,
2025-02-14,PM2.5,41.4745,1.9307,
2025-02-14,NO2,41.4745,1.9307,
2025-02-14,SO2,41.4745,1.9307,
2025-02-14,O3,41.4745,1.9307,
2025-02-14,NO,41.4745,1.9307,
2025-01-06,PM10,41.4745,1.9307,
2025-01-06,PM2.5,41.4745,1.9307,
2025-01-06,NO2,41.4745,1.9307,
2025-01-06,SO2,41.4745,1.9307,
2025-01-06,O3,41.4745,1.9307,
2025-01-06,NO,41.4745,1.9307,
